# optionality	errorType	iteratedOperation	comparisonOperator	label	xsl	referenceValue	doc Reference	comments
R2	WARNING	0	NOTNULL	practiceSettingCode.value	Classification[@classificationScheme='urn:uuid:cccf5598-8b07-4b77-a05e-ae952c785ead']/@nodeRepresentation		PCC 360X 3:3.55.4.1.2.1.2	"Identifies the setting that created the order at a high granularity e.g., Cardiology, Family Practice. Should not create ambiguity as compared to healthcareFacilityTypeCode. May be derived from / mapped to the information in ORC-21 through 24."
R2	WARNING	0	NOTNULL	practiceSettingCode.codingScheme	Classification[@classificationScheme='urn:uuid:cccf5598-8b07-4b77-a05e-ae952c785ead']/Slot[@name='codingScheme']/ValueList/Value		PCC 360X 3:3.55.4.1.2.1.2	"Identifies the setting that created the order at a high granularity e.g., Cardiology, Family Practice. Should not create ambiguity as compared to healthcareFacilityTypeCode. May be derived from / mapped to the information in ORC-21 through 24."
R	ERROR	0	NOTNULL	size	Slot[@name='size']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	Size in bytes of the message as it exists in the file system when the contents of ZIP package are extracted
R2	WARNING	0	NOTNULL	sourcePatientId	Slot[@name='sourcePatientId']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	The sourcePatientId is the ID as known by the Referral Initiator. See PCC TF-1: X.1.3.1. PID-3.
R2	WARNING	0	WARNING	sourcePatientInfo	Slot[@name='sourcePatientInfo']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	We do not yet have this case covered
R	ERROR	0	EQ	typeCode.value	Classification[@classificationScheme='urn:uuid:f0306f51-975f-434e-a61c-c59651d33983']/@nodeRepresentation	OMG_O19	PCC 360X 3:3.55.4.1.2.1.2	"Further refines classCode Ð in this case defines the specific HL7 V2 message structure, for this message it is OMG_O19. MSH-9.3 value: OMG_O19 name: General clinical order message structure coding system: 2.16.840.1.113883.18.214"
R	ERROR	0	EQ	typeCode.codingScheme	Classification[@classificationScheme='urn:uuid:f0306f51-975f-434e-a61c-c59651d33983']/Slot[@name='codingScheme']/ValueList/Value	2.16.840.1.113883.18.214	PCC 360X 3:3.55.4.1.2.1.2	"Further refines classCode Ð in this case defines the specific HL7 V2 message structure, for this message it is OMG_O19. MSH-9.3 value: OMG_O19 name: General clinical order message structure coding system: 2.16.840.1.113883.18.214"
R	ERROR	0	NOTNULL	uniqueId	./ExternalIdentifier[@identificationScheme='urn:uuid:2e82c1f6-a085-4c72-9da3-8640a32e42ab']/@value	NA	PCC 360X 3:3.55.4.1.2.1.2	Globally unique identifier assigned to the document by its creator. May be based on Message Control ID in MSH-10.
R	ERROR	0	NOTNULL	URI	Slot[@name='URI']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	The file name in the ZIP file structure containing the order message
R	WARNING	0	WARNING	referencedIdList	Slot[@name='urn:ihe:iti:xds:2013:referenceIdList']/ValueList/Value	1.2.3^^^^3.2.1&ISO^urn:ihe:iti:xds:2013:referral	PCC 360X 3:3.55.4.1.2.1.2	Contains the referral ID See PCC TF-1: X.1.3.1. Please do visual inspection to see if one of the values has the right format.
R	ERROR	0	EQ	objectType	"""@objectType"""	urn:uuid:7edca82f-054d-47f2-a032-9b2a5b5186c1	PCC 360X 3:3.55.4.1.2.1.2	"The object type distinguishes between stable and dynamic documents. Only stable documents are used in XDM, and therefore in 360X. fixed to urn:uuid:7edca82f-054d-47f2-a032-9b2a5b5186c1."
